,document_file_id,link,file,extension
116,84706,https://declarator.org/document/70338/file/84706,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(ne_ukazany_FIO).doc""",doc
117,84719,https://declarator.org/document/70338/file/84719,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(ne_ukazany_FIO).xls""",xls
118,84720,https://declarator.org/document/70338/file/84720,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(ne_ukazany_FIO).xls""",xls
119,84721,https://declarator.org/document/70338/file/84721,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(ne_ukazany_FIO).xls""",xls
120,84753,https://declarator.org/document/70338/file/84753,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
121,84754,https://declarator.org/document/70338/file/84754,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
122,84755,https://declarator.org/document/70338/file/84755,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
123,84833,https://declarator.org/document/70338/file/84833,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xls""",xls
124,84860,https://declarator.org/document/70338/file/84860,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
125,84903,https://declarator.org/document/70338/file/84903,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
126,84904,https://declarator.org/document/70338/file/84904,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(ne_ukazany_FIO).docx""",docx
127,84925,https://declarator.org/document/70338/file/84925,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(2016-2019_gody).docx""",docx
128,84967,https://declarator.org/document/70338/file/84967,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.rtf""",rtf
129,84982,https://declarator.org/document/70338/file/84982,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.doc""",doc
130,84983,https://declarator.org/document/70338/file/84983,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.doc""",doc
131,84994,https://declarator.org/document/70338/file/84994,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.doc""",doc
132,84993,https://declarator.org/document/70338/file/84993,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.rtf""",rtf
133,84992,https://declarator.org/document/70338/file/84992,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xls""",xls
134,85003,https://declarator.org/document/70338/file/85003,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xls""",xls
135,85004,https://declarator.org/document/70338/file/85004,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xls""",xls
136,85014,https://declarator.org/document/70338/file/85014,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
137,85015,https://declarator.org/document/70338/file/85015,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
138,85016,https://declarator.org/document/70338/file/85016,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
139,85029,https://declarator.org/document/70338/file/85029,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(2017-2018_gody).docx""",docx
140,85082,https://declarator.org/document/70338/file/85082,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
141,85083,https://declarator.org/document/70338/file/85083,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
142,85105,https://declarator.org/document/70338/file/85105,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
143,85273,https://declarator.org/document/70338/file/85273,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
